benchmark,solver,score
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/NC06-004__init__shapes5.adb_8_8_refined_post___00.smt2,solver3,2400
/p/graves/smtFiles/AUFFPDTLIRA/20200306-Kanig/spark2014bench/P914-008__trivial_test__a.adb_22_9_precondition___00.smt2,solver0,0.0868439
/p/graves/smtFiles/AUFFPDTLIRA/20200306-Kanig/spark2014bench/P914-008__trivial_test__a.adb_22_9_precondition___00.smt2,solver1,2400
/p/graves/smtFiles/AUFFPDTLIRA/20200306-Kanig/spark2014bench/P914-008__trivial_test__a.adb_22_9_precondition___00.smt2,solver2,0.06627
/p/graves/smtFiles/AUFFPDTLIRA/20200306-Kanig/spark2014bench/P914-008__trivial_test__a.adb_22_9_precondition___00.smt2,solver3,2400
/p/graves/smtFiles/AUFFPDTLIRA/20200306-Kanig/spark2014bench/P909-014__numerics__main.adb_13_23_range_check___00.smt2,solver0,0.090774
/p/graves/smtFiles/AUFFPDTLIRA/20200306-Kanig/spark2014bench/P909-014__numerics__main.adb_13_23_range_check___00.smt2,solver1,2400
/p/graves/smtFiles/AUFFPDTLIRA/20200306-Kanig/spark2014bench/P909-014__numerics__main.adb_13_23_range_check___00.smt2,solver2,0.0752419
/p/graves/smtFiles/AUFFPDTLIRA/20200306-Kanig/spark2014bench/P909-014__numerics__main.adb_13_23_range_check___00.smt2,solver3,2400
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/M809-005__float_basics__why_168f5d_generic_float_tests-T-defqtvc__00.smt2,solver0,0.114092
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/M809-005__float_basics__why_168f5d_generic_float_tests-T-defqtvc__00.smt2,solver1,2400
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/M809-005__float_basics__why_168f5d_generic_float_tests-T-defqtvc__00.smt2,solver2,0.0764719
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/M809-005__float_basics__why_168f5d_generic_float_tests-T-defqtvc__00.smt2,solver3,2400
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/Q424-012__succ_floats_copy_z3__succ_floats.adb_7_31_overflow_check___00.smt2,solver0,0.0204171
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/Q424-012__succ_floats_copy_z3__succ_floats.adb_7_31_overflow_check___00.smt2,solver1,2400
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/Q424-012__succ_floats_copy_z3__succ_floats.adb_7_31_overflow_check___00.smt2,solver2,0.0223631
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/Q424-012__succ_floats_copy_z3__succ_floats.adb_7_31_overflow_check___00.smt2,solver3,2400
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/MC13-026__float_div__protectedfloat.adb_18_21_fp_overflow_check___00.smt2,solver0,0.381063
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/MC13-026__float_div__protectedfloat.adb_18_21_fp_overflow_check___00.smt2,solver1,2400
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/MC13-026__float_div__protectedfloat.adb_18_21_fp_overflow_check___00.smt2,solver2,0.667484
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/MC13-026__float_div__protectedfloat.adb_18_21_fp_overflow_check___00.smt2,solver3,2400
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/NC05-005__float_division__pi_euler.adb_11_33_loop_invariant_preserv2___00.smt2,solver0,1.36471
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/NC05-005__float_division__pi_euler.adb_11_33_loop_invariant_preserv2___00.smt2,solver1,2400
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/NC05-005__float_division__pi_euler.adb_11_33_loop_invariant_preserv2___00.smt2,solver2,0.183492
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/NC05-005__float_division__pi_euler.adb_11_33_loop_invariant_preserv2___00.smt2,solver3,2400
/p/graves/smtFiles/AUFFPDTLIRA/20200306-Kanig/spark2014bench/M809-005__float_basics__why_ff67ae_homothetical-T-defqtvc__00.smt2,solver0,0.0536401
/p/graves/smtFiles/AUFFPDTLIRA/20200306-Kanig/spark2014bench/M809-005__float_basics__why_ff67ae_homothetical-T-defqtvc__00.smt2,solver1,2400
/p/graves/smtFiles/AUFFPDTLIRA/20200306-Kanig/spark2014bench/M809-005__float_basics__why_ff67ae_homothetical-T-defqtvc__00.smt2,solver2,0.051173
/p/graves/smtFiles/AUFFPDTLIRA/20200306-Kanig/spark2014bench/M809-005__float_basics__why_ff67ae_homothetical-T-defqtvc__00.smt2,solver3,2400
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/N709-001__tagged_discr__tagged_discr.adb_40_8_discriminant_check___00.smt2,solver0,0.111709
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/N709-001__tagged_discr__tagged_discr.adb_40_8_discriminant_check___00.smt2,solver1,2400
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/N709-001__tagged_discr__tagged_discr.adb_40_8_discriminant_check___00.smt2,solver2,0.082962
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/N709-001__tagged_discr__tagged_discr.adb_40_8_discriminant_check___00.smt2,solver3,2400
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/proofinuse__lat_long__lat_long.ads_39_45_fp_overflow_check___00.smt2,solver0,0.610261
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/proofinuse__lat_long__lat_long.ads_39_45_fp_overflow_check___00.smt2,solver1,2400
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/proofinuse__lat_long__lat_long.ads_39_45_fp_overflow_check___00.smt2,solver2,0.701278
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/proofinuse__lat_long__lat_long.ads_39_45_fp_overflow_check___00.smt2,solver3,2400
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/P912-012__float_zero__run.ads_24_19_postcondition___00.smt2,solver0,0.132413
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/P912-012__float_zero__run.ads_24_19_postcondition___00.smt2,solver1,2400
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/P912-012__float_zero__run.ads_24_19_postcondition___00.smt2,solver2,0.126313
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/P912-012__float_zero__run.ads_24_19_postcondition___00.smt2,solver3,2400
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/P201-069__simulink__simulink_functions.adb_1219_33_fp_overflow_check___00.smt2,solver0,1.67434
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/P201-069__simulink__simulink_functions.adb_1219_33_fp_overflow_check___00.smt2,solver1,2400
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/P201-069__simulink__simulink_functions.adb_1219_33_fp_overflow_check___00.smt2,solver2,1.92718
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/P201-069__simulink__simulink_functions.adb_1219_33_fp_overflow_check___00.smt2,solver3,2400
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/proofinuse__ce__counter_examples.adb_9_16_fp_overflow_check___00.smt2,solver0,0.349139
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/proofinuse__ce__counter_examples.adb_9_16_fp_overflow_check___00.smt2,solver1,2400
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/proofinuse__ce__counter_examples.adb_9_16_fp_overflow_check___00.smt2,solver2,0.128207
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/proofinuse__ce__counter_examples.adb_9_16_fp_overflow_check___00.smt2,solver3,2400
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/P310-021__proof_float_remainder__foo.adb_9_17_division_check___00.smt2,solver0,0.025254
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/P310-021__proof_float_remainder__foo.adb_9_17_division_check___00.smt2,solver1,2400
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/P310-021__proof_float_remainder__foo.adb_9_17_division_check___00.smt2,solver2,0.020961
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/P310-021__proof_float_remainder__foo.adb_9_17_division_check___00.smt2,solver3,2400
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/M809-005__float_basics__why_b9c8dc_generic_float_tests-T-defqtvc__00.smt2,solver0,0.02424
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/M809-005__float_basics__why_b9c8dc_generic_float_tests-T-defqtvc__00.smt2,solver1,2400
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/M809-005__float_basics__why_b9c8dc_generic_float_tests-T-defqtvc__00.smt2,solver2,0.0503019
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/M809-005__float_basics__why_b9c8dc_generic_float_tests-T-defqtvc__00.smt2,solver3,2400
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/M809-005__float_basics__why_cc6bc3_generic_interval_tests-T-defqtvc__00.smt2,solver0,0.248602
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/M809-005__float_basics__why_cc6bc3_generic_interval_tests-T-defqtvc__00.smt2,solver1,2400
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/M809-005__float_basics__why_cc6bc3_generic_interval_tests-T-defqtvc__00.smt2,solver2,0.230958
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/M809-005__float_basics__why_cc6bc3_generic_interval_tests-T-defqtvc__00.smt2,solver3,2400
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/M809-005__float_basics__why_b5915a_generic_float_tests-T-defqtvc__00.smt2,solver0,0.0933159
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/M809-005__float_basics__why_b5915a_generic_float_tests-T-defqtvc__00.smt2,solver1,2400
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/M809-005__float_basics__why_b5915a_generic_float_tests-T-defqtvc__00.smt2,solver2,0.0613049
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/M809-005__float_basics__why_b5915a_generic_float_tests-T-defqtvc__00.smt2,solver3,2400
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/M809-005__float_basics__why_212f49_generic_interval_tests-T-defqtvc__00.smt2,solver0,0.195106
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/M809-005__float_basics__why_212f49_generic_interval_tests-T-defqtvc__00.smt2,solver1,2400
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/M809-005__float_basics__why_212f49_generic_interval_tests-T-defqtvc__00.smt2,solver2,0.155697
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/M809-005__float_basics__why_212f49_generic_interval_tests-T-defqtvc__00.smt2,solver3,2400
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/O205-003__dynamic_float__test_dynamic_property.adb_57_24_range_check___00.smt2,solver0,0.152756
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/O205-003__dynamic_float__test_dynamic_property.adb_57_24_range_check___00.smt2,solver1,2400
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/O205-003__dynamic_float__test_dynamic_property.adb_57_24_range_check___00.smt2,solver2,0.216054
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/O205-003__dynamic_float__test_dynamic_property.adb_57_24_range_check___00.smt2,solver3,2400
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/P201-069__simulink__smoothing.adb_54_22_assert___00.smt2,solver0,0.19363
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/P201-069__simulink__smoothing.adb_54_22_assert___00.smt2,solver1,2400
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/P201-069__simulink__smoothing.adb_54_22_assert___00.smt2,solver2,0.204968
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/P201-069__simulink__smoothing.adb_54_22_assert___00.smt2,solver3,2400
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/P912-012__float_zero_numerics__numerics.ads_13_142_fp_overflow_check___00.smt2,solver0,0.0189321
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/P912-012__float_zero_numerics__numerics.ads_13_142_fp_overflow_check___00.smt2,solver1,2400
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/P912-012__float_zero_numerics__numerics.ads_13_142_fp_overflow_check___00.smt2,solver2,0.0427101
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/P912-012__float_zero_numerics__numerics.ads_13_142_fp_overflow_check___00.smt2,solver3,2400
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/P201-069__simulink__smoothing.adb_98_22_assert___00.smt2,solver0,2.19349
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/P201-069__simulink__smoothing.adb_98_22_assert___00.smt2,solver1,2400
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/P201-069__simulink__smoothing.adb_98_22_assert___00.smt2,solver2,2.31658
/p/graves/smtFiles/UFFPDTLIRA/20200306-Kanig/spark2014bench/P201-069__simulink__smoothing.adb_98_22_assert___00.smt2,solver3,2400
